ovoNumber;(operationele einddatum ook invullen als) formele einddatum;Naam (algemeen);id;;;;;
OVO037901;10/03/2020;Administratieve Ondersteuning;448b510b-62cb-7d4b-15bc-6d8ecbdc7f3a;;;;;
OVO048686;25/10/2018;Administratieve Ondersteuning;e86de59a-0b66-18f2-1722-672c97476c71;;;;;
OVO048688;31/07/2012;Afd. EO-Team KMO-Portefeuille;36dda5fd-ef88-5cf6-8544-a03cc41a6da9;;;;;
OVO048687;31/07/2012;Afd. EO-Team Ondersteuning;9ffea80a-c58b-568d-ff6b-e9ca3cd8c29a;;;;;
OVO040251;30/09/2020;Afdeling Boekhouding & Aankopen;39a70a36-8e28-c6d7-068e-80fe793e7412;;;;;
OVO040249;30/09/2018;Afdeling HR, Financieel & Facilitair Management;82e04a4f-6aed-9e5d-05ae-4e486adc53fa;;;;;
OVO028620;22/11/2020;Afdelingssecretariaat;070beda1-a2a5-fb7f-a199-1f125dc6c64d;;;;;
OVO036844;18/02/2018;Applicatiebeheer;3e9cc46b-76ba-021a-ee47-2a71984f00dd;;;;;
OVO037997;31/12/2020;BE-REEL;30e27ec2-9f2b-61e0-2cb7-c366c8d8bebc;;;;;
OVO048599;30/04/2019;Bedrijfsadvies;dab620ca-3635-4592-d3a5-5b79b6acd418;;;;;
OVO037192;30/04/2019;Bedrijfsadvies Regio Oost;6317439d-a372-4030-8913-e43a9c8dba09;;;;;
OVO037209;30/04/2019;Bedrijfsadvies Regio West;3e6ce926-c42b-b726-6478-60fb98d020f3;;;;;
OVO038026;24/02/2016;Beleid AWV;d8ac7097-d8b1-266a-fcbc-bf8ebb2ce337;;;;;
OVO047819;31/12/2020;Beleid, Strategie en Ondernemingsplanning;33e97fae-7f36-0064-e3de-b3938975004d;;;;;
OVO039496;18/02/2018;Beleidscel;ecaa51ed-a5b2-be10-e0a6-1ebcca09f298;;;;;
OVO039418;31/12/2017;Beleidscel Sociale Economie en Duurzaam Ondernemen;1a847705-0c01-282f-72f5-d5f9433b4680;;;;;
OVO039476;31/12/2017;Beleidscel Toezicht & Handhaving;6512e518-aa0b-266e-4d82-edd33a50b4ae;;;;;
OVO039406;31/12/2017;Beleidscel Werkgelegenheidsbeleid;32f752c1-3086-af66-a2db-955ff1145986;;;;;
OVO039670;22/02/2021;Beleidsondersteuning en Communicatie;08107d07-d805-3a91-179f-35b4e2e869ca;;;;;
OVO036903;31/03/2020;Beleidsuitvoering & Opvolging;d04044ea-46d2-d21f-ae84-fb5510715a29;;;;;
OVO039952;31/01/2021;Bemiddelaarspool;e62f7ade-97b6-ffc3-00b2-6bb578118917;;;;;
OVO044535;31/05/2016;Binnenmilieu;ae05d948-0188-58a7-e0cc-ec34964ce3e6;;;;;
OVO037796;31/08/2019;Bodes;130f7b4d-8f59-aba7-b306-e8a04dcf787f;;;;;
OVO040252;30/09/2020;Boekhouding;d4bad8b3-1a86-de8d-336b-66a1062dac5b;;;;;
OVO038413;29/02/2020;Buitendienst;ad3c8a41-811f-8642-99ea-1de0d2ecc2ee;;;;;
OVO038402;30/04/2018;Buitendienst Antwerpen;904a1255-4428-1ec9-6a71-3ec28ca9432c;;;;;
OVO038403;30/04/2018;Buitendienst Limburg;b7260ddb-2a99-7244-eb14-ce15b7df197a;;;;;
OVO038404;30/04/2018;Buitendienst Oost-Vlaanderen;e94f7e06-ca5b-8943-a0af-3ab3165034a3;;;;;
OVO038405;30/04/2018;Buitendienst Vlaams-Brabant;f5b59e63-b5ea-c7d9-d7ff-af58c367d3cd;;;;;
OVO038406;30/04/2018;Buitendienst West-Vlaanderen;47b188b6-69e8-373e-2ca2-8c73b3a74046;;;;;
OVO039798;15/10/2020;Business Liaisons;759cf77a-e63d-b0b3-48b8-9ad65ffbc3e5;;;;;
OVO040254;30/09/2020;CLA;3c1310b4-339e-29ac-5cbc-92ba895fbb73;;;;;
OVO037488;30/04/2010;Cel Fotogrammetrie;04ea24bd-cc9d-9f47-e76d-9f8bc3fb596c;;;;;
OVO037478;30/04/2009;Cel Fotogrammetrie;b69279a6-3f61-0cd0-5f43-304bf786d447;;;;;
OVO040374;30/06/2017;Cel KI Bio-controle;92dd5ab9-6c69-d315-0731-05d8b4e67be0;;;;;
OVO040372;30/06/2017;Cel KI Hasselt;bc7b63b4-8751-0137-29d2-6cd3cba2b094;;;;;
OVO040371;30/06/2017;Cel KI Merelbeke;8a2d37b0-c723-5f3c-77b4-0b9287a17b1b;;;;;
OVO037480;31/12/2009;Cel Ondersteuning Bestekken;188b7783-7d7e-ba2f-a994-c6e0aacdefdf;;;;;
OVO037481;31/12/2009;Cel Ondersteuning Kwaliteitszorg;8cfc4c28-251b-413d-447d-b705c57954f6;;;;;
OVO044574;30/06/2017;Cel Persoonsgebonden budget;ea03f03c-3b37-91bf-7282-1aae82bcf325;;;;;
OVO037479;31/12/2009;Cel Prijzenadvies;0e5e598a-a123-8906-3edc-5e275129e447;;;;;
OVO031301;31/08/2020;Cel Simulaties;ecd959b4-028e-2a89-aded-167b516645c8;;;;;
OVO029120;31/05/2019;Cel intake 1;338e6da5-7616-4978-ec49-e871b30a28bb;;;;;
OVO029121;31/05/2019;Cel intake 2;8694b18b-2a14-7f51-7bb2-f9a83a7e78dc;;;;;
OVO029122;31/05/2019;Cel intake 3;06e91173-1eb6-c0a2-90ee-ddf359a5b345;;;;;
OVO031197;31/08/2019;Celprojecten;437af11c-a7df-c628-bfba-1cfb7f52ef4b;;;;;
OVO040139;31/03/2019;Centrum;5f02b2d7-bad3-007a-d347-730e59d55f4f;;;;;
OVO038690;31/03/2020;Cluster Asper;4e22bf4e-9707-07ec-6323-787a15d75a38;;;;;
OVO038841;7/12/2020;Coaching;db8960bb-0453-c7a1-83fe-5eee8050267c;;;;;
OVO038836;31/07/2020;Concessies;08be5399-6f98-c6e5-1c11-1b5628fc5e4e;;;;;
OVO036637;30/04/2021;Contracten & Juridische ondersteuning;9954f26d-9920-a875-a6c5-15c35b516d63;;;;;
OVO038045;26/08/2012;Contracten - Patrimoniumbeheer;523369fe-2cf9-e76e-f586-b1b10c0462f4;;;;;
OVO049259;31/03/2021;Coördinatie emissiemeetnet Ijzer, Leie en Brugse Polders;eb84bf8f-1ac4-4d1e-e64a-6d542e51c323;;;;;
OVO039738;6/01/2021;Coördinatie onderhoud;f29aafbd-2155-1a69-a06b-d1e20156fca0;;;;;
OVO037179;30/04/2020;Crediteuren;e1b55d59-18c0-24bf-a664-35b09375b275;;;;;
OVO037637;15/02/2021;Databank Ondergrond Vlaanderen;92fe4d9a-8e79-8f37-86c0-95881bcd150a;;;;;
OVO039407;31/12/2017;Dienst Activering en Individuele tewerkstellingsmaatregelen;3ec98a19-5b34-cf0f-1e54-e62af40f46e2;;;;;
OVO041232;16/03/2021;Dienst Beroepsopleiding;96213260-94d9-5d20-5100-c08fb5977ce1;;;;;
OVO039408;31/10/2016;Dienst Competenties en Loopbanen;de079f8a-a4bd-11f0-b094-c2c2405c802f;;;;;
OVO039420;31/03/2015;Dienst Duurzaam Ondernemen;d068bf23-b598-5ea2-b5a1-38fde56a1a5d;;;;;
OVO039453;31/12/2017;Dienst Econ. Migratie Antwerpen;b43c6ae0-e5b6-f5c1-9f81-50abd4025345;;;;;
OVO039454;31/07/2014;Dienst Econ. Migratie Limburg;ed0b9f07-f56a-cb3a-e263-5f5394fbba71;;;;;
OVO039459;31/12/2017;Dienst Econ. Migratie Limburg-VLB;c9c92b9f-90d1-90ec-12f3-807ccfce298d;;;;;
OVO039458;31/12/2017;Dienst Econ. Migratie OVL-WVL;6a28b249-850b-ef10-116c-39181fd7e418;;;;;
OVO039457;31/07/2014;Dienst Econ. Migratie West-Vlaanderen;917c3700-49e6-7828-aa38-120531818802;;;;;
OVO039448;13/09/2018;Dienst Economische Migratie;6a38af61-7a16-2400-3d2a-a8d5ea26206f;;;;;
OVO040539;31/03/2016;Dienst Exploitatie;4cd5be4b-4863-8d92-a36b-3e5aecf0a953;;;;;
OVO040502;30/06/2017;Dienst Exploitatie;14fc09dc-60ab-64f0-875f-877057682025;;;;;
OVO040511;30/06/2017;Dienst Exploitatie;d398bf09-f5a1-8516-3e47-0def484995f8;;;;;
OVO028605;31/10/2019;Dienst Inkoop en Vast Actief;c7427a43-a0b0-2e29-52fb-f36295b44617;;;;;
OVO039478;30/07/2018;Dienst Onderzoek en Verificatie;19c7af24-39ee-11ab-be25-a6973e6a29ab;;;;;
OVO040540;31/03/2016;Dienst Ontwikkeling;285c9b96-b339-5331-ca87-ebfe66d0ca9c;;;;;
OVO040738;30/06/2017;Dienst Ontwikkeling;34dd83d1-09dc-f4a6-8bba-f2f9265a5e91;;;;;
OVO040512;30/06/2017;Dienst Ontwikkeling;bae02e37-b832-5763-3912-ad8ba025dfd9;;;;;
OVO040503;30/06/2017;Dienst Ontwikkeling A;95720038-c9c0-4909-dc33-9a293ecbc857;;;;;
OVO040504;30/06/2017;Dienst Ontwikkeling B;5f0528ff-65e7-d60d-bde0-e042952fbdbc;;;;;
OVO040505;30/06/2017;Dienst Ontwikkeling C;a5975e96-b75b-043a-2028-ee4d4f99ed3a;;;;;
OVO039477;31/07/2018;Dienst Operationele Inspectie;417af77a-1160-88a9-6a15-d0e4873694b1;;;;;
OVO039481;31/12/2017;Dienst Operationele Inspectie regio Oost;8b66b6c7-da18-5fee-1994-3bd88cb27e0a;;;;;
OVO039493;31/05/2020;Dienst Operationele Inspectie regio West;ccbf74e0-b33d-096b-6b0f-330bbc3031fa;;;;;
OVO039482;31/12/2017;Dienst Operationele Inspectie regio West;d18b602e-8a8d-3905-3eac-4d1adacffafa;;;;;
OVO040506;30/06/2017;Dienst SAS;a771b706-cd3e-3325-db6d-7a88424a697b;;;;;
OVO040541;31/03/2016;Dienst SAS;9abffb3e-15bf-d57e-1dff-2495c53b63eb;;;;;
OVO040514;30/09/2016;Dienst SAS;8cbd1fcd-6e98-57c4-7f41-6a1699f36041;;;;;
OVO039421;31/12/2017;Dienst Sociale Economie;539f6edb-82c1-40fb-9cf2-4bcd2fa27a20;;;;;
OVO039419;30/07/2018;Dienst Sociale Economie en Duurzaam Ondernemen;e94bd9c6-062c-8062-c142-ac8161e30bd1;;;;;
OVO039497;31/12/2017;Dienst Werkenden;94e4e8a6-7303-cf0a-e36a-4448c845f0f2;;;;;
OVO039498;31/12/2017;Dienst Werkzoekenden;2161886f-76d5-ac6f-c973-196d86645bc0;;;;;
OVO039449;31/12/2017;Dienst dienstencheques en uitzendkantoren;6e85f27b-2fd0-292c-cd42-914851030496;;;;;
OVO028706;28/02/2013;Dienstencentrum/VFP 1;ac0b9553-7098-9e9f-6fab-96a3cc8d348f;;;;;
OVO028707;28/02/2013;Dienstencentrum/VFP 2;2b768017-0f36-0e1d-cca4-8e7a5b2bce90;;;;;
OVO028708;28/02/2013;Dienstencentrum/VFP 3;86b400de-4ed5-1ca9-8640-c16e9b7e0bdb;;;;;
OVO028709;28/02/2013;Dienstencentrum/VFP 4;d3f0e2f4-40d9-df76-d043-41e32c93b5bf;;;;;
OVO038282;30/09/2015;Dienstkring Neerpelt;36737ef7-d24e-374d-b121-2a7aac4c5479;;;;;
OVO038278;30/09/2015;Dienstkring Sint-Truiden;73f4e98e-4029-d8dc-f210-c6b312073776;;;;;
OVO036910;31/03/2020;Digitalisering;8e875623-3f6f-3fef-767f-89818a87b7c9;;;;;
OVO038039;31/07/2020;Districtswerking;1ffc73b0-ef77-55fa-780d-ae097ef02ef5;;;;;
OVO029108;30/11/2019;Dossierbehandeling;817fb0e8-b8f3-6990-7fee-cb021da66d19;;;;;
OVO044539;31/05/2016;Drinkwater;cae645bf-126e-52ab-71bf-7b1f44525155;;;;;
OVO036656;30/11/2019;Dynamisch Verkeersmanagement 2;62aedcf0-9b64-a5e7-1cdb-77c135b15224;;;;;
OVO037650;30/04/2012;EM;4fa13490-ebb7-4593-dddf-fc3165ac0158;;;;;
OVO037676;31/10/2019;EW3;c7702557-3dbe-5207-8650-e0365eb87d15;;;;;
