ovoNumber;(operationele einddatum ook invullen als) formele einddatum;Naam (algemeen);id;;;;;
OVO040546;31/03/2016;Team BRK;8f1c16d4-afef-3c14-4272-44fd92da2341;;;;;
OVO037457;31/12/2009;Team Beleidsafstemming;1ffb2c4c-d498-16c2-9c62-aed9953d5c88;;;;;
OVO040421;30/06/2017;Team Beleidsvoorbereiding;fe4541ee-7c3f-0fb5-94b5-231dd56dd85f;;;;;
OVO039460;31/12/2017;Team Beroepskaarten;fc4235b5-ab82-2934-21f6-63622c7c8f33;;;;;
OVO039580;31/08/2019;Team Beroepskaarten;679d0082-3496-541d-e1c6-f1b16b253bfb;;;;;
OVO040256;30/09/2020;Team Boekhouding / VA;c81b1f3c-f1e7-b1aa-dcfa-e64d2fe64e60;;;;;
OVO029113;30/11/2019;Team Brugge;83f32ecf-0fe3-5e11-ae15-8d27a3b9ecf7;;;;;
OVO029119;30/11/2019;Team Brussel - Intake;10b722b9-f389-3d10-ffa1-496c238ba6f2;;;;;
OVO029114;30/11/2019;Team Brussel I;736827e9-6760-dd78-efba-fff7278632f4;;;;;
OVO029115;30/11/2019;Team Brussel II;9dea4efa-cfb8-b832-2211-c693755465f4;;;;;
OVO029116;30/11/2019;Team Brussel III;14c7b4a6-8572-c80f-3447-e481fa352918;;;;;
OVO037458;31/12/2007;Team Buitenland;f359f7fb-36ce-613d-135c-637ce61a5e0f;;;;;
OVO040075;30/06/2021;Team Business, Retail en IT AMB regio Leuven;96f11a75-10f0-e2e7-029c-a05818cf2a9a;;;;;
OVO040530;30/06/2017;Team CTL;e4d8c778-1af9-825d-5480-6428d17385de;;;;;
OVO040555;30/06/2017;Team CTL;e1755725-b114-1755-df60-5af745b0c100;;;;;
OVO040547;31/03/2016;Team CTL;2651d7ca-f4fd-c294-2597-0cb301ff9cbd;;;;;
OVO040526;30/06/2017;Team CUBA;064bd4ce-d1bc-e30d-b6e8-47d46b17d785;;;;;
OVO040544;31/03/2016;Team CUBA;07acd6b2-1083-57d8-bf16-fb7f2c5d5b48;;;;;
OVO040552;30/06/2017;Team CUBA;5dd3b145-9619-2ddb-aa4e-e82217755dc9;;;;;
OVO038507;31/03/2020;Team Communicatie;4d0e3578-8af1-c9b2-1693-993d0490f9e9;;;;;
OVO039410;31/12/2017;Team Competentiemaatregelen;61325449-fd9a-bb8d-b517-a1d61d46343c;;;;;
OVO038418;29/02/2020;Team Controle;1f296b5f-736d-7fc0-739a-10e8276692fa;;;;;
OVO040523;30/06/2017;Team DBA;9db8cf4d-86a6-6412-6acc-c024ce7d77b0;;;;;
OVO040253;30/09/2020;Team Debiteuren;1acf2728-25e1-8676-7078-123e178b558d;;;;;
OVO039431;31/12/2017;Team Duurzaam Ondernemen;b01ac400-21ec-d826-729f-ed5ceff43743;;;;;
OVO040509;30/06/2017;Team E-government en Digitale Processen;57a7aa86-d585-bffb-f22b-02186475dfb7;;;;;
OVO040537;31/03/2016;Team E-government en Digitale Processen;9c111dbf-33d0-d3b5-858b-5c7103fd48a3;;;;;
OVO040500;30/06/2017;Team E-government en Digitale Processen;350ef88a-338e-9a64-3a6a-d9e01026ec1b;;;;;
OVO040551;30/06/2017;Team EVA;ad7668e3-713d-50f2-e795-b63336145d33;;;;;
OVO040543;31/03/2016;Team EVA;e9801e3c-2d53-24a7-e430-97629afd8d14;;;;;
OVO040527;30/06/2017;Team EVA;c9cad09a-7b5b-914c-8477-b7c2b90e0285;;;;;
OVO039578;19/12/2018;Team Economische Migratie;911ccb42-e7b3-0d89-523b-66e27ec42afb;;;;;
OVO040516;30/06/2017;Team FIJI;d7cf8b21-9a9f-af38-1d23-2b0196e0d2d2;;;;;
OVO040533;30/06/2017;Team FIT;9d677dee-0982-696d-3d6c-da59ab09846b;;;;;
OVO029125;31/05/2019;Team Financiering;7639a5bd-28df-4f95-32c8-dd73c9ea961f;;;;;
OVO029111;30/11/2019;Team Financiering;b1ea329a-f473-a782-58ec-26d24baf0b7d;;;;;
OVO040264;30/09/2020;Team Financiën;b91495e5-4c22-7cfc-9d5a-65d3bc15af70;;;;;
OVO040269;30/09/2020;Team Financiën;743d385f-9bcd-68a1-e821-45d4bcd44c3c;;;;;
OVO040268;30/09/2020;Team Financiën;41f861a4-3e75-1934-3ad9-2cb24e22c31b;;;;;
OVO040266;30/09/2020;Team Financiën;406a48f8-fec0-970c-f49a-7cf0a95ba09b;;;;;
OVO040265;30/09/2020;Team Financiën;eed4a4c5-ae63-9399-7277-4b459f005d0b;;;;;
OVO040267;30/09/2020;Team Financiën;d09a9248-8652-c6f0-e3a7-fe55ac9f06b4;;;;;
OVO039354;30/07/2018;Team Financiën en Begroting;584600aa-9e44-a2e4-d7f8-06b34f720606;;;;;
OVO040545;31/03/2016;Team GIS;4b14c58c-d9a4-ed93-64d9-e71fa391800e;;;;;
OVO040553;30/06/2017;Team GIS;de2f52e1-6d46-5ca3-1d5d-b9487d161445;;;;;
OVO040528;30/06/2017;Team GIS;251b07d5-a6dc-a755-4a31-e7d7ebd700b6;;;;;
OVO039097;30/04/2020;Team Gebiedswerking;de696719-6c46-fc10-4c88-6e36b6b30ba7;;;;;
OVO029117;30/11/2019;Team Gent;c4ed204b-5d24-d7bc-3013-a63a793c1d8c;;;;;
OVO037551;16/07/2019;Team Globo SVK's;f44f543d-a276-e5e8-0ee9-9c6fe3b3b8e8;;;;;
OVO041369;31/12/2020;Team Groendaalheyde;76a16cfd-2f25-e06a-7fba-e53c5cdb7443;;;;;
OVO040525;30/06/2017;Team HYDRA;5f0d5780-4357-f624-06fd-c0afc6454f9e;;;;;
OVO029118;30/11/2019;Team Hasselt - Leuven;f6fba03e-8128-be03-6dfe-a45aa8ff946d;;;;;
OVO040550;30/06/2017;Team Hydra;12d2363c-76c3-3b0f-3d18-5e774450ac21;;;;;
OVO040542;31/03/2016;Team Hydra;880647fb-327e-ebfc-beb6-3f9670e1fee1;;;;;
OVO039352;30/07/2018;Team ICT en Organisatie;05116023-782a-0baa-315a-1607cc67332b;;;;;
OVO039946;31/01/2021;Team Inloopwerkwinkel;494eb09d-cf50-a5f4-24af-3d400ac803c5;;;;;
OVO036672;31/12/2019;Team Intelligente Wegsystemen;d6090b73-94e8-8860-c189-01714138e0ee;;;;;
OVO039949;31/01/2021;Team Intensieve Dienstverlening Kapellen;901b6f5d-b36a-8b83-e8ca-078c6e23d6b2;;;;;
OVO039950;31/01/2021;Team Intensieve Dienstverlening Mortsel;140b6907-8e5d-96cd-9b7d-6f8ebdd12fd1;;;;;
OVO039948;31/01/2021;Team Intensieve Dienstverlening Turnhout;66a260d9-6f14-6866-82b2-090e50f6424c;;;;;
OVO039353;30/07/2018;Team Juridische Dienstverlening;899eaa17-b2bc-f040-941d-dfed668fa0e7;;;;;
OVO037528;31/08/2020;Team Juridische ondersteuning;6c1e817b-7ef9-cdb8-1546-097d85de8827;;;;;
OVO037473;24/02/2019;Team Kennisstrategie;c9b50080-44c9-5919-7811-2665bdafcae9;;;;;
OVO040521;30/06/2017;Team LUNS;0f6e8fec-c5a3-a18a-e707-5ff015c351a9;;;;;
OVO039436;31/12/2017;Team Lokale Diensteconomie;9fc3eda8-04dc-f208-b4ec-a76088cc6963;;;;;
OVO039409;31/12/2017;Team Loopbanen;19f44749-2bf0-1275-eced-a8d01177d93a;;;;;
OVO037461;20/04/2008;Team Luchthavens;28cf67ae-aaef-9093-056d-782aab4b7ece;;;;;
OVO039435;31/12/2017;Team Maatwerk;c9e67cff-cd6a-e40c-6391-9d7521941ef4;;;;;
OVO049256;31/03/2021;Team Meetnet Afvalwater Bovenschelde, Gentse Kanalen;70b00645-8b54-a955-8b46-026d02ef92b6;;;;;
OVO049257;31/03/2021;Team Meetnet Afvalwater Demer, Dijle en Maas;0722d891-20af-80ba-c565-af9c1271782c;;;;;
OVO049258;31/03/2021;Team Meetnet Afvalwater IJzer, Leie en Brugse Polders;502c0ac4-7962-cda2-ee5f-09e8eac89566;;;;;
OVO049260;31/03/2021;Team Meetnet Afvalwater Nete e;f0d2bd0d-ced5-1880-1a61-555d7b831b35;;;;;
OVO049263;31/03/2021;Team Meetnet OW Bovenschelde, Gentse kanalen, Dender;4b0657c7-499d-020d-d76f-15b50e3d6ec3;;;;;
OVO049265;31/03/2021;Team Meetnet OW IJzer, Leie e;881ecbb7-b24f-20fb-317f-52f9f2ed3ef5;;;;;
OVO049266;31/03/2021;Team Meetnet Oppervlaktewater;693f4ccb-641c-b678-0485-f53ee07a696e;;;;;
OVO049264;31/03/2021;Team Meetnet Oppervlaktewater;d1ae8ab4-72d9-86d3-24c4-d892a35f1334;;;;;
OVO049261;31/03/2021;Team Meetnet Riooloverstorten;bfb4ec5d-581d-e898-f29f-df04f51e3a71;;;;;
OVO037648;31/12/2020;Team Metingen;39751d5c-93ca-4f60-190f-54fc9c605864;;;;;
OVO031091;30/04/2020;Team Milieueffectrapportage;7dc398a4-1cbd-26b5-f850-eb6df3e232a7;;;;;
OVO038419;29/02/2020;Team Monitoring;4b6a8ef1-0b03-37f3-6afd-7f9ab32624ed;;;;;
OVO039919;31/01/2021;Team Onderwijstalent;b856d2ff-016d-b73c-5640-ac08681dbf60;;;;;
OVO031109;30/04/2020;Team Oost Antwerpen;3202c637-01c2-ed84-f03a-5b44f10a8163;;;;;
OVO031114;31/01/2020;Team Oost Gent;56fc8f0a-46a4-5401-f556-fc40b6c84bf7;;;;;
OVO038508;31/03/2020;Team Operationeel Beleid;51aac155-c718-42fd-cba7-d361ad6fe09e;;;;;
OVO037327;31/03/2020;Team Operationeel Beleid;9c13c8d2-3c5b-7e44-5126-7c66c5ed25c7;;;;;
OVO040422;30/06/2017;Team Operationele Coordinatie;4807bd4b-2400-e0a4-3448-057ef3be8390;;;;;
OVO029128;31/05/2019;Team Organisatie VWO;9a63776d-e54f-d44c-bbba-c8bc85fccaa9;;;;;
OVO040538;31/03/2016;Team Projectonderst Aankoop Informatic en Com tech;0494b90b-5266-ad19-5c51-a376077fd6d3;;;;;
OVO040501;30/06/2017;Team Projectonderst Aankoop Informatic en Com tech;2702a015-b936-c817-2828-eab87eb80bdd;;;;;
OVO040510;30/06/2017;Team Projectonderst Aankoop Informatic en Com tech;2f8c65ac-16e0-76a4-208b-4f4c04e7a50f;;;;;
OVO039679;24/08/2020;Team Public Affairs;232bb56f-1d64-6acc-9e3f-51691b982fd1;;;;;
OVO040556;30/06/2017;Team REF1;e5384350-df60-c0c9-1fb2-ccec945f4fcf;;;;;
OVO040531;30/06/2017;Team REF1;e35c880c-3027-111a-ff28-a595ef87b7d3;;;;;
OVO040548;31/03/2016;Team REF1;29a1355a-e2f4-d43a-2f27-5aa15318c17c;;;;;
OVO039577;19/12/2018;Team Regulering en Administratieve Geldboeten;45b97a3b-f69d-d9b1-bbec-9c0c827678ed;;;;;
OVO040535;30/06/2017;Team SAS FW;02919e98-1813-b406-57c7-45f0d8feb7ba;;;;;
OVO040536;30/06/2017;Team SAS Kern;914f70d2-9b70-77f2-3c59-9fc961efcbfe;;;;;
OVO040534;30/06/2017;Team SASFU;db5af429-6318-4621-730f-d21e5a80b5d7;;;;;
OVO040557;30/06/2017;Team SIROS;a8a17d8a-8ead-cdef-9d52-fe62dc141b16;;;;;
OVO040532;30/06/2017;Team SIROS;b3b7e7fb-a280-2097-c1c6-71a31ca20cf6;;;;;
OVO040549;31/03/2016;Team SIROS;6c5b3bc9-7745-0078-35e9-0de7da722c4f;;;;;
OVO038896;31/03/2020;Team Samenwerking;a91562cd-6000-2150-178f-d4fec5e835d5;;;;;
OVO040524;30/06/2017;Team Service desk;79344276-7240-b0b6-f78c-1da823d87734;;;;;
OVO039360;8/12/2020;Team Strategische Verkeersmodellen;d684c1d0-28d4-ea01-a11c-baafd241c49d;;;;;
OVO039437;31/12/2017;Team Subsidies en Arbeidszorg;bcdb2f42-2248-67be-5776-d2d852661d1c;;;;;
OVO039680;24/08/2020;Team Support;ac48ed71-1f95-b411-506b-480204430a40;;;;;
OVO040065;31/03/2020;Team T&L corporate Brussels Airport House;d298a051-8854-bd6e-3a64-f77191759d6c;;;;;
OVO036701;30/11/2019;Team TTW;57a1079d-64a4-608b-d8f3-5c202d518382;;;;;
OVO039429;18/02/2018;Team Talent;d621d1a3-10c5-013c-a012-0a3ab9161c48;;;;;
OVO037459;31/12/2009;Team Telematica;f9a80d0a-8773-5e60-a624-4793a48e78ff;;;;;
OVO036700;30/11/2019;Team Transitie;1f614569-469f-0d22-a793-bd35dfba3291;;;;;
OVO031115;30/04/2020;Team West Antwerpen;83ed7d59-d4fa-a0fb-1d31-1e537d4779cd;;;;;
OVO040522;30/06/2017;Team Wst;0019c98d-5fed-226a-b9c6-522516e34da2;;;;;
OVO040035;31/05/2020;Team Zorg & Onderwijs 1;49bfe362-4fd3-2151-969d-985014ebeeeb;;;;;
OVO040036;31/05/2020;Team Zorg & Onderwijs 2;e08fd27d-fd89-bdb8-7795-7cafa19a2139;;;;;
OVO040079;19/04/2020;Team Zorg en Onderwijs corporate regio Leuven;c11eb748-a606-3aa3-97bd-d7b890926184;;;;;
OVO040078;19/04/2020;Team Zorg en Onderwijs corporate regio Vilvoorde;2abb7923-07a2-86e4-a7e2-180820a15631;;;;;
OVO031113;31/01/2020;Team Zuidoost;90e40f67-ee27-b062-f75c-67193155699a;;;;;
OVO039581;19/12/2018;Team arbeidskaarten (Antwerpen);f08ccb5c-4ea9-645e-2bce-4275e7e4101a;;;;;
OVO039579;19/12/2018;Team arbeidskaarten (Leuven);75094827-6bce-3bcf-3f8d-2a6d9031a240;;;;;
OVO045076;31/12/2017;Team instellingen;377356a6-abcd-1a59-5c18-aea1cb10b69d;;;;;
OVO031095;30/04/2020;Team omgevingsplanning Brugge;b3b2d3d8-b824-dbdb-6dc0-724ca881055d;;;;;
OVO031096;30/04/2020;Team omgevingsplanning Brussel;9ebebe1f-b682-8047-14db-abbeaa469e41;;;;;
OVO031097;30/04/2020;Team omgevingsplanning Gent;e6d63bab-2cab-6111-508e-c241c81c9854;;;;;
OVO031098;30/04/2020;Team omgevingsplanning Hasselt;bd029708-98d5-d731-909f-f4e68d45b5c6;;;;;
OVO031099;30/04/2020;Team omgevingsplanning Leuven;c9790304-3aea-6882-bad5-b2e1573a05b4;;;;;
OVO039432;31/12/2017;Team op het Terrein;51e88fba-6181-7d45-173c-a4de390085f7;;;;;
OVO038417;29/02/2020;Team subsidies;585d97ef-be40-035b-e9d4-28943e499e5d;;;;;
OVO037622;31/08/2020;Team tegemoetkomingen - A'pen;39e80668-c1f7-a6c8-264d-459d290ffa14;;;;;
OVO037624;31/08/2020;Team tegemoetkomingen - Limburg;e65fbad6-a70d-c055-8368-413388c64b77;;;;;
OVO037623;31/08/2020;Team tegemoetkomingen - Oost-Vl;06d30065-62b0-8939-34f7-33921fc13091;;;;;
OVO037626;31/08/2020;Team tegemoetkomingen - West-Vl;7c2f8ef2-c923-6149-592e-2f012222a7c6;;;;;
OVO037625;31/08/2020;Team tegemoetkomingen- Vl-Br;6d47d2f2-66ec-b33c-1363-af7821e5d049;;;;;
OVO041331;27/02/2021;Team voorbereiding 2;1eae2b78-e8cc-016f-6eb3-85b77fcfd351;;;;;
OVO037069;31/12/2019;Team werftoezicht 8;b983e5bb-0739-dacb-d793-f78f76df8000;;;;;
OVO040144;23/12/2018;Technisch onderhoud;769c2bad-1bab-5f3a-c563-81284ceb6334;;;;;
OVO038833;19/02/2019;Tekenkamer & Kruispuntsimulaties;ed819269-0c1c-9827-9831-145086a03e7b;;;;;
OVO038276;31/08/2019;Topografie;5b41ad73-77bc-5715-d060-6c0a229952b3;;;;;
OVO039739;6/01/2021;Tunnelbeheer;33cb3909-142c-c113-ad3a-34f46b8a49c7;;;;;
OVO047771;18/01/2021;Tunnelcoördinatie;72fcd37f-7bca-8777-95b1-789eb87bc350;;;;;
OVO039740;6/01/2021;Tunnelonderhoud;fbcf90a3-c0f7-748c-19cb-ac98147fa2ca;;;;;
OVO038455;31/01/2015;Verkeer;f94a03e0-1c33-45bb-725a-2a2c66e54258;;;;;
OVO036829;31/05/2015;Verkeer 1;04eb2b1d-43d1-937e-2c51-9b4fd49ff69d;;;;;
OVO036830;31/05/2015;Verkeer 2;44cdbc3c-1b67-36c0-9340-5af165b391bf;;;;;
OVO038456;31/01/2015;Verkeer AL;d300790b-793f-ae94-6177-0836cc9cb025;;;;;
OVO036645;30/11/2019;Verkeershandhavingssystemen 1;e287d031-7552-33ca-be93-efceb8e65c26;;;;;
OVO036646;30/11/2019;Verkeershandhavingssystemen 2;289a8039-2b7b-eb8a-dc67-e6a2671cbc82;;;;;
OVO036647;30/11/2019;Verkeershandhavingssystemen 3;32129e10-3034-e270-77ab-d1657de77228;;;;;
OVO036648;30/11/2019;Verkeershandhavingssystemen 4;08c72088-872d-ad96-0d7a-12a31b33e9dd;;;;;
OVO036649;30/11/2019;Verkeershandhavingssystemen 5;09a37ad8-c504-a8d9-b90d-24cee83f9685;;;;;
OVO036650;30/11/2019;Verkeershandhavingssystemen 6;602e4297-3f26-eee0-345b-344bc0f5ee58;;;;;
OVO036651;30/11/2019;Verkeershandhavingssystemen 7;f1d57f7a-43ab-0231-c6d7-7dd9f7825b9e;;;;;
OVO036652;30/11/2019;Verkeershandhavingssystemen 8;ff0c592d-e75b-d503-0cfb-22a0424af08e;;;;;
OVO036653;30/11/2019;Verkeershandhavingssystemen 9;aa64c160-da51-b836-2be7-7b517d56981f;;;;;
OVO041460;14/09/2020;Verpleegkundigen, zorgkundigen en vroedvrouwen;63b2fd56-6512-eae5-25cc-ed8d2169b121;;;;;
OVO038297;29/02/2020;Vlaams Planbureau voor omgeving Antwerpen;0d642cb9-1c69-4f05-b1bd-e3683138fa07;;;;;
OVO038299;29/02/2020;Vlaams Planbureau voor omgeving Limburg;9f0a41be-7f15-1320-358c-5bf0cfcf79e8;;;;;
OVO038199;29/02/2020;Vlaams Planbureau voor omgeving Oost-Vlaanderen;8b496faf-681a-07e6-0246-4ac5efb0c7ca;;;;;
OVO038300;29/02/2020;Vlaams Planbureau voor omgeving Vlaams Brabant;35cb646f-3bea-901d-7b0c-2483d631153a;;;;;
OVO038298;29/02/2020;Vlaams Planbureau voor omgeving West -Vlaanderen;729aba40-58b2-5806-fef9-ab784cbe48e4;;;;;
OVO048555;30/11/2020;Vlaamse Hoge Handhavingsraad voor Ruimte en Milieu;3f1dc488-058d-eb98-b692-207a0f53e94a;;;;;
OVO038472;30/04/2017;Wegenarbeiders Aarschot;7a7b2aae-754b-7e1d-7d97-b59a9095e88d;;;;;
OVO038480;30/04/2018;Wegenarbeiders Halle;89be7d8f-68e2-7e91-ff61-171b2ad01a0c;;;;;
OVO038324;30/04/2018;Wegenarbeiders Leuven;cdfc36e5-3319-83af-e216-2d0edac06c22;;;;;
OVO038467;30/04/2018;Wegenarbeiders Vilvoorde;6ba35d64-f9e0-373f-8ac9-a813a73d6689;;;;;
OVO038044;14/04/2014;Wegeninspectie;9129450e-55b2-e265-a9c6-3a09974ad480;;;;;
OVO038464;30/04/2018;Wegentoezicht 1;aa287329-d09e-344a-cc4a-d524c4d9b671;;;;;
OVO038465;30/04/2018;Wegentoezicht 2;39b4e3a6-aba9-aef6-e4b3-12cbad1847af;;;;;
OVO038466;30/04/2018;Wegentoezicht 3;c5b0a577-1fab-27dd-eb20-96388514899a;;;;;
OVO036677;31/12/2018;Weginfrastructuur 1;c97602e4-cd2d-7cfb-8250-e1ca09013e94;;;;;
OVO037088;31/08/2019;Welzijn;ad74013a-7748-a8a8-abaf-cee84c1d59f6;;;;;
OVO037683;31/10/2019;Werfopvolging7;a0bf85f7-88c2-b7eb-37c4-99fe4cb523f6;;;;;
OVO037684;29/10/2019;Werfopvolging7a;c83e402e-1434-840f-abed-f8282cfa0334;;;;;
OVO037685;30/09/2019;Werfopvolging7b;1321d5e7-1f5c-329f-6691-8dfe365fc798;;;;;
OVO038279;30/09/2015;Werftoezicht;57185c8f-93c5-f64a-f6fc-68d0288582ee;;;;;
OVO038283;30/09/2015;Werftoezicht;912bed41-a35a-ae0c-b263-f13bdf0c41b1;;;;;
OVO040153;23/12/2018;Zaalwachter;1ac7ddc1-b822-048a-e6f7-fb81ab1fe075;;;;;
OVO040138;31/03/2019;Zwembad;1ef27efd-a9c1-8a20-14fb-010696db9030;;;;;
OVO037928;15/10/2020;helpdesk;5bc76bb3-a6df-4313-5850-eb1bfba06f68;;;;;
OVO038663;31/08/2019;team Domeinbeheer;4d282805-d568-28dd-3b94-543dabac461e;;;;;
OVO037232;31/08/2019;team Omgeving;67124ee1-fe5e-a0a3-5a7c-241f491cba94;;;;;
OVO037049;31/08/2019;team Werftoezicht;898b944c-454e-4448-1783-6491aaa0afa7;;;;;
OVO028684;31/12/2019;zetel Antwerpen vastgoedtransacties;496c4478-2cea-d01b-a9f5-ff5205ae7269;;;;;
OVO028685;31/12/2019;zetel Genk vastgoedtransacties;0893d796-9995-16b4-455a-77910d4f8af8;;;;;
