VO_OVOCODE;VO_OP_BEGIN_DT nieuw (operationeel geldig vanaf)
OVO040883;1/04/2015
OVO040885;1/04/2015
OVO049311;1/04/2015
OVO042595;1/05/2015
OVO042596;1/05/2015
OVO002464;1/05/2015
OVO037016;1/05/2015
OVO037017;1/05/2015
OVO040891;1/09/2015
OVO000638;1/01/2016
OVO041040;1/01/2016
OVO041041;1/01/2016
OVO041042;1/01/2016
OVO041043;1/01/2016
OVO041044;1/01/2016
OVO041045;1/01/2016
OVO041046;1/01/2016
OVO041047;1/01/2016
OVO041048;1/01/2016
OVO041049;1/01/2016
OVO049894;1/01/2016
OVO042869;1/01/2016
OVO042870;1/01/2016
OVO042871;1/01/2016
OVO042872;1/01/2016
OVO042873;1/01/2016
OVO042955;1/01/2016
OVO042956;1/01/2016
OVO042957;1/01/2016
OVO042969;1/01/2016
OVO042973;1/01/2016
OVO042974;1/01/2016
OVO042971;1/01/2016
OVO043067;1/01/2016
OVO043073;1/01/2016
OVO043069;1/01/2016
OVO043074;1/01/2016
OVO043075;1/01/2016
OVO043076;1/01/2016
OVO043077;1/01/2016
OVO043078;1/01/2016
OVO043070;1/01/2016
OVO043072;1/01/2016
OVO038235;1/01/2016
OVO038242;1/01/2016
OVO038257;1/01/2016
OVO038259;1/01/2016
OVO038237;1/01/2016
OVO036811;1/01/2016
OVO036798;1/01/2016
OVO000108;1/01/2016
OVO040739;1/01/2016
OVO040825;1/04/2016
OVO031174;1/05/2016
OVO040877;1/07/2016
OVO040876;1/07/2016
OVO040873;1/07/2016
OVO040875;1/07/2016
OVO040874;1/07/2016
OVO037998;1/09/2016
OVO042889;1/10/2016
OVO039301;1/11/2016
OVO040898;1/11/2016
OVO040899;1/11/2016
OVO040900;1/11/2016
OVO042975;1/01/2017
OVO042978;1/01/2017
OVO042979;1/01/2017
OVO042995;1/01/2017
OVO036339;1/02/2017
OVO049227;1/02/2017
OVO049228;1/02/2017
OVO049229;1/02/2017
OVO049230;1/02/2017
OVO043120;9/02/2017
OVO000684;9/02/2017
OVO000683;9/02/2017
OVO049141;9/02/2017
OVO043118;9/02/2017
OVO043126;9/02/2017
OVO042890;1/04/2017
OVO042977;1/04/2017
OVO043005;1/04/2017
OVO000095;1/04/2017
OVO028868;1/04/2017
OVO001692;1/04/2017
OVO001691;1/04/2017
OVO003756;1/04/2017
OVO004168;1/04/2017
OVO042595;1/04/2017
OVO042596;1/04/2017
OVO036311;1/04/2017
OVO036312;1/04/2017
OVO037016;1/04/2017
OVO037017;1/04/2017
OVO002464;1/04/2017
OVO037998;1/04/2017
OVO042869;1/04/2017
OVO042870;1/04/2017
OVO042871;1/04/2017
OVO042872;1/04/2017
OVO042873;1/04/2017
OVO037531;1/04/2017
OVO037532;1/04/2017
OVO037533;1/04/2017
OVO037534;1/04/2017
OVO037535;1/04/2017
OVO037552;1/04/2017
OVO000108;1/04/2017
OVO037568;1/04/2017
OVO037618;1/04/2017
OVO001755;1/04/2017
OVO044927;1/04/2017
OVO044929;1/04/2017
OVO044930;1/04/2017
OVO000603;1/04/2017
OVO044942;1/04/2017
OVO044951;1/04/2017
OVO044958;1/04/2017
OVO044965;1/04/2017
