VO_OVOCODE;VO_PG_DEPTIDOVO;VO_PG_DEPTIDtotOVO nieuw (sleutel geldig tot)
OVO045257;1 B 2C2GD;31/03/2015
OVO000246;1 B 2C2H;28/02/2013
OVO045258;1 B 2C4K;15/07/2012
OVO045259;1 B 2C4LA;31/03/2015
OVO045260;1 B 2C4LB;31/03/2015
OVO045261;1 B 2C4LC;31/03/2015
OVO045262;1 B 2C4LD;31/03/2015
OVO045263;1 B 2C4LE;31/03/2015
OVO039278;1 B 2C4N;31/03/2015
OVO045264;1 B 2C5PA;31/03/2015
OVO045265;1 B 2C5PB;31/03/2015
OVO045266;1 B 2C6Q;28/02/2013
OVO045267;1 B 2C8S;31/03/2015
OVO045269;1 B 2C8WBA;31/03/2015
OVO045270;1 B 2C8WEA;31/03/2015
OVO045271;1 B 2C8Y;31/03/2015
OVO045272;1 B 2C8ZA;31/01/2015
OVO045275;1 B 2C8ZB;31/03/2015
OVO045276;1 B 2C8ZC;31/03/2015
OVO045278;1 B 2C9RA;31/03/2015
OVO045279;1 B 2C9RC;28/02/2013
OVO048676;1 B 2C9RCA;30/11/2007
OVO045280;1 B 2C9RD;28/02/2013
OVO045281;1 B 2C9RDA;28/02/2013
OVO045282;1 B 2C9RDAA;28/02/2013
OVO045283;1 B 2C9RDB;28/02/2013
OVO045284;1 B 2C9RDC;28/02/2013
OVO045285;1 B 2C9RDD;28/02/2013
OVO045286;1 B 2C9RE;28/02/2013
OVO045287;1 B 2C9RF;28/02/2013
OVO045289;1 B 2C9RFA;31/03/2015
OVO045289;1 B 2C9RFA;28/02/2013
OVO045290;1 B 2C9RFB;28/02/2013
OVO045291;1 B 2C9RFC;28/02/2013
OVO045292;1 B 2C9RFD;28/02/2013
OVO045293;1 B 2C9RG;28/02/2013
OVO045294;1 B 2C9RH;28/02/2013
OVO045295;1 B 2C9RJ;31/03/2015
OVO045296;1 B 2C9RJA;31/03/2015
OVO045297;1 B 2C9RJB;31/03/2015
OVO045298;1 B 2C9RJC;31/03/2015
OVO045299;1 B 2C9RJD;31/03/2015
OVO045300;1 B 2C9RJE;31/03/2015
OVO045301;1 B 2C9RK;31/03/2015
OVO045302;1 B 2C9RKA;31/03/2015
OVO045303;1 B 2C9RKB;31/03/2015
OVO045304;1 B 2C9RL;31/03/2015
OVO045305;1 B 2C9RLA;28/02/2013
OVO045306;1 B 2C9RLB;28/02/2013
OVO045307;1 B 2C9RLC;31/03/2015
OVO045308;1 B 2C9RLD;31/03/2015
OVO045309;1 B 2C9RM;31/03/2015
OVO045310;1 B 2C9RMA;28/02/2013
OVO045311;1 B 2C9RMB;28/02/2013
OVO045312;1 B 2C9RMC;31/03/2015
OVO045313;1 B 2C9RN;31/03/2015
OVO045314;1 B 3D AA;31/03/2015
OVO045315;1 B 3D AB;31/03/2015
OVO045316;1 B 3D AC;31/03/2015
OVO045317;1 B 3D AD;31/03/2015
OVO045318;1 B 3D BA;31/03/2015
OVO000823;1 B 3D BC;31/03/2015
OVO045319;1 B 3D BD;31/03/2015
OVO045320;1 B 3D BE;30/09/2013
OVO045321;1 B 3D BF;31/03/2015
OVO045322;1 B 3D BG;31/03/2015
OVO045323;1 B 3D BH;31/03/2015
OVO045324;1 B 3D BJ;31/03/2015
OVO045325;1 B 3D BK;30/09/2013
OVO045326;1 B 3D BL;31/03/2015
OVO045327;1 B 3D CA;31/03/2015
OVO045328;1 B 3D CB;31/03/2015
OVO045329;1 B 3D CC;31/03/2015
OVO045330;1 B 3D CD;31/03/2015
OVO045331;1 B 3D CE;31/03/2015
OVO045332;1 B 3D CF;31/03/2015
OVO045333;1 B 3D EA;31/03/2015
OVO045334;1 B 3D EB;31/03/2015
OVO045335;1 B 3D EC;31/03/2015
OVO045336;1 B 3D ED;31/03/2015
OVO045337;1 B 3D EE;31/03/2015
OVO045338;1 B 3D EEA;31/03/2015
OVO045339;1 B 3D EF;31/03/2015
OVO045340;1 B 3D EG;31/03/2015
